ticker,company,sector,industry,country,market cap,pe,price,change,volume
HGEN,"Humanigen, Inc.",Healthcare,Biotechnology,USA,1.81M,-,0.02,15.11%,"7,995,859"
VRAY,"ViewRay, Inc.",Healthcare,Medical Devices,USA,4.66M,-,0.03,0.00%,0
SYTA,Siyata Mobile Inc.,Technology,Communication Equipment,Canada,8.32M,-,0.04,-1.14%,"16,901,776"
TIVC,"Tivic Health Systems, Inc.",Healthcare,Medical Devices,USA,5.66M,-,0.05,3.10%,"13,398,083"
CRKN,Crown ElectroKinetics Corp.,Basic Materials,Specialty Chemicals,USA,4.58M,-,0.07,1.60%,"3,113,473"
NMTR,"9 Meters Biopharma, Inc.",Healthcare,Biotechnology,USA,1.05M,-,0.07,0.00%,0
APPH,"AppHarvest, Inc.",Consumer Defensive,Farm Products,USA,12.71M,-,0.08,0.13%,"14,838,186"
MCOM,Micromobility.com Inc.,Consumer Cyclical,Recreational Vehicles,USA,7.72M,-,0.08,-5.67%,"21,485,200"
MOBQ,"Mobiquity Technologies, Inc.",Communication Services,Advertising Agencies,USA,2.19M,-,0.08,0.99%,"566,536"
ASTI,"Ascent Solar Technologies, Inc.",Technology,Solar,USA,4.16M,-,0.08,-6.70%,"1,484,776"
IDEX,"Ideanomics, Inc.",Industrials,Farm & Heavy Construction Machinery,USA,69.72M,-,0.08,2.70%,"15,091,058"
EBET,"EBET, Inc.",Consumer Cyclical,Gambling,USA,3.10M,-,0.09,-0.70%,"845,704"
NOVN,"Novan, Inc.",Healthcare,Biotechnology,USA,3.02M,-,0.09,0.00%,0
NAVB,"Navidea Biopharmaceuticals, Inc.",Healthcare,Biotechnology,USA,9.41M,-,0.09,2.15%,"5,880,987"
BACK,"IMAC Holdings, Inc.",Healthcare,Medical Care Facilities,USA,3.57M,-,0.11,5.83%,"1,282,111"
NVOS,"Novo Integrated Sciences, Inc.",Healthcare,Medical Care Facilities,USA,15.75M,-,0.11,-1.88%,"4,496,750"
TTOO,"T2 Biosystems, Inc.",Healthcare,Diagnostics & Research,USA,33.31M,-,0.12,-0.60%,"28,440,705"
EJH,E-Home Household Service Holdings Limited,Consumer Cyclical,Personal Services,China,2.86M,-,0.12,5.45%,"929,939"
IRNT,"IronNet, Inc.",Technology,Software - Infrastructure,USA,14.32M,-,0.12,5.22%,"1,847,778"
AGRI,AgriFORCE Growing Systems Ltd.,Consumer Defensive,Farm Products,Canada,2.32M,-,0.12,-1.20%,"1,080,868"
MULN,"Mullen Automotive, Inc.",Consumer Cyclical,Auto Manufacturers,USA,85.89M,-,0.12,0.00%,"169,011,046"
NEPT,Neptune Wellness Solutions Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.51M,-,0.12,0.73%,"919,674"
SMX,SMX (Security Matters) Public Limited Company,Industrials,Specialty Business Services,Australia,5.57M,-,0.13,-1.84%,"2,503,364"
BREZR,Breeze Holdings Acquisition Corp.,Financial,Shell Companies,USA,57.19M,0.34,0.13,-14.40%,"1,686"
INFI,"Infinity Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,10.59M,-,0.13,0.15%,"800,900"
CNXA,Connexa Sports Technologies Inc.,Consumer Cyclical,Leisure,USA,2.52M,-,0.13,3.09%,"924,186"
BRSH,Bruush Oral Care Inc.,Consumer Defensive,Household & Personal Products,Canada,1.13M,-,0.13,-4.58%,"775,195"
FOXO,FOXO Technologies Inc.,Healthcare,Health Information Services,USA,6.86M,-,0.13,-1.11%,"1,351,752"
ALPS,"Alpine Summit Energy Partners, Inc.",Energy,Oil & Gas E&P,USA,7.60M,0.21,0.14,0.00%,0
MIMO,Airspan Networks Holdings Inc.,Communication Services,Telecom Services,USA,12.10M,-,0.15,2.62%,"153,220"
AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,20.60M,-,0.15,4.94%,"210,132"
DUO,Fangdd Network Group Ltd.,Real Estate,Real Estate Services,China,11.49M,-,0.16,1.56%,"498,007"
SIDU,"Sidus Space, Inc.",Industrials,Aerospace & Defense,USA,8.27M,-,0.17,4.41%,"2,520,675"
YVR,Liquid Media Group Ltd.,Communication Services,Electronic Gaming & Multimedia,Canada,3.30M,-,0.17,4.24%,"196,811"
ZVSA,"ZyVersa Therapeutics, Inc.",Healthcare,Biotechnology,USA,3.76M,-,0.17,4.32%,"1,110,829"
WNW,Meiwu Technology Company Limited,Consumer Cyclical,Internet Retail,China,18.77M,-,0.18,3.31%,"163,891"
AXLA,Axcella Health Inc.,Healthcare,Biotechnology,USA,14.47M,-,0.18,-3.16%,"248,654"
METX,Meten Holding Group Ltd.,Consumer Defensive,Education & Training Services,China,6.01M,2.79,0.19,-1.76%,"188,091"
AVTX,"Avalo Therapeutics, Inc.",Healthcare,Biotechnology,USA,2.65M,-,0.19,-8.01%,"2,811,720"
SXTC,"China SXT Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,China,2.02M,-,0.19,7.28%,"471,014"
CNEY,CN Energy Group. Inc.,Basic Materials,Specialty Chemicals,China,8.46M,1.91,0.20,5.97%,"568,656"
LTRY,Lottery.com Inc.,Consumer Cyclical,Gambling,USA,10.24M,-,0.20,2.25%,"224,250"
BRQS,"Borqs Technologies, Inc.",Technology,Software - Application,Hong Kong,33.61M,-,0.20,1.78%,"543,459"
JWEL,Jowell Global Ltd.,Consumer Cyclical,Internet Retail,China,6.85M,-,0.20,0.40%,"75,258"
EFSH,1847 Holdings LLC,Industrials,Conglomerates,USA,5.71M,-,0.20,-3.33%,"2,519,176"
TKAT,"Takung Art Co., Ltd.",Consumer Cyclical,Internet Retail,Hong Kong,6.76M,-,0.20,2.50%,"270,754"
CISO,CISO Global Inc.,Technology,Software - Infrastructure,USA,33.63M,-,0.21,-1.06%,"550,666"
SEV,Sono Group NV,Consumer Cyclical,Auto Manufacturers,Germany,18.74M,-,0.21,0.00%,0
ZOM,Zomedica Corp.,Healthcare,Drug Manufacturers - Specialty & Generic,USA,202.33M,-,0.21,0.72%,"3,272,727"
RCRT,"Recruiter.com Group, Inc.",Industrials,Staffing & Employment Services,USA,3.85M,-,0.21,2.94%,"45,314"
LIFW,"MSP Recovery, Inc.",Healthcare,Health Information Services,USA,802.67M,-,0.22,6.58%,"410,775"
AKU,Akumin Inc.,Healthcare,Diagnostics & Research,USA,19.65M,-,0.22,12.36%,"416,390"
CLVR,Clever Leaves Holdings Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Colombia,10.39M,-,0.22,1.40%,"156,935"
PIRS,"Pieris Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,15.88M,-,0.22,7.19%,"605,907"
AKTX,"Akari Therapeutics, Plc",Healthcare,Biotechnology,United Kingdom,22.17M,-,0.22,2.83%,"407,114"
HSDT,"Helius Medical Technologies, Inc.",Healthcare,Medical Devices,USA,6.11M,-,0.22,3.93%,"115,078"
GMVD,G Medical Innovations Holdings Ltd,Healthcare,Medical Instruments & Supplies,Israel,3.10M,-,0.22,-35.01%,"1,937,749"
UAVS,"AgEagle Aerial Systems, Inc.",Technology,Computer Hardware,USA,24.38M,-,0.22,0.41%,"516,391"
WATT,Energous Corporation,Technology,Scientific & Technical Instruments,USA,21.14M,-,0.22,0.00%,"592,680"
MMAT,Meta Materials Inc.,Technology,Electronic Components,Canada,98.82M,-,0.22,8.38%,"5,917,292"
SISI,"Shineco, Inc.",Consumer Defensive,Farm Products,China,4.87M,-,0.23,-0.10%,"145,952"
AMBO,Ambow Education Holding Ltd.,Consumer Defensive,Education & Training Services,USA,6.67M,-,0.23,-2.08%,"51,902"
